Image,Pitchers
1_14_19.10_30_20.f1bcp11011,21
1_14_19.10_30_20.f1bcp11018,31
1_14_19.10_30_20.f1bcp11021,26
1_14_19.10_30_20.f1bcr11009,11
1_14_19.10_30_20.f1bcr11016,11
1_14_19.10_30_20.f1bcr11068,8
1_14_19.10_30_20.f102-04003,15
1_14_19.10_30_20.f102-04043,20
1_14_19.10_30_20.f102-04049,25
1_14_19.10_30_20.f20152,18
1_14_19.10_30_20.f210168,12
1_14_19.10_30_20.f210239,16
1_14_19.10_30_20.p001,33
1_14_19.10_30_20.p005,35
1_14_19.10_30_20.p006,36
1_14_19.10_30_20.r004,6
1_14_19.10_30_20.r005,9
1_14_19.10_30_20.r007,9
1_14_19.CalMag.f1bcp11001,12
1_14_19.CalMag.f1bcp11002,16
1_14_19.CalMag.f1bcp11004,20
1_14_19.CalMag.f1bcr11013,10
1_14_19.CalMag.f1bcr11029,13
1_14_19.CalMag.f1bcr11033,9
1_14_19.CalMag.f102-04005,12
1_14_19.CalMag.f102-04006,10
1_14_19.CalMag.f102-04033,13
1_14_19.CalMag.f209003,2
1_14_19.CalMag.f211010,12
1_14_19.CalMag.f212002,11
1_14_19.CalMag.p003,25
1_14_19.CalMag.p004,27
1_14_19.CalMag.p007,23
1_14_19.CalMag.r002,6
1_14_19.CalMag.r003,8
1_14_19.CalMag.r010,8
1_14_19.Control.f1bcp11015,27
1_14_19.Control.f1bcp11019,12
1_14_19.Control.f1bcp11020,28
1_14_19.Control.f1bcr11040,12
1_14_19.Control.f1bcr11043,11
1_14_19.Control.f1bcr11075,12
1_14_19.Control.f102-04028,20
1_14_19.Control.f102-04050,11
1_14_19.Control.f210134,21
1_14_19.Control.f210275,20
1_14_19.Control.f211004,16
1_14_19.Control.f10204046,15
1_14_19.Control.p008,41
1_14_19.Control.p009,46
1_14_19.Control.psittacina,53
1_14_19.Control.r006,15
1_14_19.Control.r008,7
8_1_18.10_30_20.f1bcp11011,14
8_1_18.10_30_20.f1bcp11018,16
8_1_18.10_30_20.f1bcp11021,15
8_1_18.10_30_20.f1bcr11009,6
8_1_18.10_30_20.f1bcr11016,9
8_1_18.10_30_20.f1bcr11068,4
8_1_18.10_30_20.f102-04003,7
8_1_18.10_30_20.f102-04043,11
8_1_18.10_30_20.f102-04049,20
8_1_18.10_30_20.f20152,6
8_1_18.10_30_20.f210168,9
8_1_18.10_30_20.f210239,10
8_1_18.10_30_20.p001,25
8_1_18.10_30_20.p005,31
8_1_18.10_30_20.p006,27
8_1_18.10_30_20.r004,5
8_1_18.10_30_20.r005,5
8_1_18.10_30_20.r007,6
8_1_18.CalMag.f1bcp11001,18
8_1_18.CalMag.f1bcp11002,24
8_1_18.CalMag.f1bcp11004,15
8_1_18.CalMag.f1bcr11013,7
8_1_18.CalMag.f1bcr11029,15
8_1_18.CalMag.f1bcr11033,6
8_1_18.CalMag.f102-04005,9
8_1_18.CalMag.f102-04006,7
8_1_18.CalMag.f102-04033,8
8_1_18.CalMag.f209003,9
8_1_18.CalMag.f211010,11
8_1_18.CalMag.f212002,12
8_1_18.CalMag.p003,24
8_1_18.CalMag.p004,40
8_1_18.CalMag.p007,19
8_1_18.CalMag.r002,12
8_1_18.CalMag.r003,11
8_1_18.CalMag.r010,5
